x,y,z,blade_engaged
0.013136,-0.007353,0.058928,1
0.013315,-0.007066,0.058876,1
0.013335,-0.007072,0.058867,1
0.013421,-0.006785,0.058850,1
0.013437,-0.006789,0.058842,1
0.013496,-0.006555,0.058828,1
0.013538,-0.006430,0.058816,1
0.013454,-0.006338,0.058857,1
0.013624,-0.005915,0.058794,1
0.013669,-0.005913,0.058774,1
0.013783,-0.005939,0.058721,1
0.013854,-0.005839,0.058691,1
0.013795,-0.005439,0.058722,1
0.013825,-0.005438,0.058708,1
0.013825,-0.005330,0.058706,1
0.013825,-0.005199,0.058705,1
0.013920,-0.004982,0.058659,1
0.013889,-0.004875,0.058669,1
0.013947,-0.004758,0.058638,1
0.014006,-0.004642,0.058608,1
0.014064,-0.004526,0.058578,1
0.014098,-0.004354,0.058557,1
0.014175,-0.004316,0.058520,1
0.014253,-0.004246,0.058483,1
0.014181,-0.003988,0.058494,1
0.014192,-0.003853,0.058480,1
0.014205,-0.003719,0.058464,1
0.014250,-0.003644,0.058441,1
0.014291,-0.003454,0.058404,1
0.014324,-0.003214,0.058368,1
0.014392,-0.003176,0.058333,1
0.014382,-0.003043,0.058322,1
0.014375,-0.002910,0.058309,1
0.014367,-0.002776,0.058297,1
0.014365,-0.002624,0.058279,1
0.014429,-0.002537,0.058240,1
0.014329,-0.002376,0.058261,1
0.014555,-0.002367,0.058165,1
0.014357,-0.001890,0.058181,1
0.014389,-0.001883,0.058167,1
0.014420,-0.001876,0.058153,1
0.014363,-0.001670,0.058143,1
0.014407,-0.001561,0.058106,1
0.014451,-0.001452,0.058070,1
0.014447,-0.001278,0.058043,1
0.014421,-0.001145,0.058031,1
0.014396,-0.001012,0.058019,1
0.014361,-0.000874,0.058010,1
0.014302,-0.000764,0.058016,1
0.014243,-0.000652,0.058022,1
0.014284,-0.000434,0.057965,1
0.014279,-0.000434,0.057967,1
0.014280,-0.000434,0.057967,1
0.014349,0.000009,0.057850,1
0.014178,0.000086,0.057911,1
0.014200,0.000095,0.057900,1
0.014269,0.000289,0.057829,1
0.014280,0.000413,0.057798,1
0.014039,0.000646,0.057865,1
0.014064,0.000660,0.057850,1
0.014075,0.000957,0.057787,1
0.014001,0.001009,0.057811,1
0.013929,0.001062,0.057835,1
0.013856,0.001114,0.057860,1
0.013762,0.001376,0.057850,1
0.013769,0.001497,0.057820,1
0.013774,0.001618,0.057793,1
0.013782,0.001738,0.057763,1
0.013721,0.001907,0.057761,1
0.013711,0.001999,0.057749,1
0.013647,0.002029,0.057778,1
0.013583,0.002060,0.057808,1
0.013510,0.002483,0.057752,1
0.013523,0.002474,0.057747,1
0.013508,0.002623,0.057720,1
0.013502,0.002746,0.057695,1
0.013429,0.002900,0.057703,1
0.013411,0.003006,0.057689,1
0.013336,0.003067,0.057720,1
